name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,field,spouse,children,parents,religion
The Countess of Lovelace,{{birth date|df=y|1815|12|10}},"London, England",{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",British,,,,,,,,,"{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}","{{plainlist| * [[Byron King-Noel, Viscount Ockham]] * [[Anne Blunt, 15th Baroness Wentworth]] * [[Ralph King-Milbanke, 2nd Earl of Lovelace]]}}","{{Plainlist | * [[Lord Byron|George Byron, 6th Baron Byron]] (father) * [[Lady Byron|Anne Isabella Milbanke]] (mother) }}",
Grace Hopper,{{birth date|1906|12|9}},"[[New York City]], [[New York (state)|New York]], U.S.",{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",,,,{{plainlist| * [[FLOW-MATIC]] * [[COBOL]]}}}} }},{{plainlist| * [[Defense Distinguished Service Medal]] * [[Legion of Merit]] * [[Meritorious Service Medal (USA)|Meritorious Service Medal]] * [[American Campaign Medal]] * [[World War II Victory Medal]] * [[National Defense Service Medal]] * [[Armed Forces Reserve Medal]] with two [[Hourglass Device]]s * [[Naval Reserve Medal]] * [[Presidential Medal of Freedom]] (posthumous)}},,"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,{{marriage|Vincent Hopper|1930|1945|end=div}},,,
Hedy Lamarr,{{Birth date|mf=yes|1914|11|9}},"[[Vienna]], [[Austria-Hungary]]",{{Death date and age|mf=yes|2000|1|19|1914|11|9}},"[[Casselberry, Florida]], US",,{{hlist|Actress|inventor}},,,,,,,,{{plainlist| * {{marriage|[[Friedrich Mandl]]|1933|1937|end=div}} * {{marriage|[[Gene Markey]]|1939|1941|end=div}} * {{marriage|[[John Loder (actor)|John Loder]]|1943|1947|end=div}} * {{marriage|[[Teddy Stauffer]]|1951|1952|end=div}} * {{marriage|W. Howard Lee|1953|1960|end=div}} * {{marriage|Lewis J. Boies|1963|1965|end=div}}}},3 }},,
Katherine Johnson,{{Birth date|1918|08|26}},"[[White Sulphur Springs, West&nbsp;Virginia]], U.S.",{{Death date and age|2020|02|24|1918|08|26}},"[[Newport News, Virginia]], U.S.",,"[[Human computer]], computer programmer, mathematics teacher",,Calculating trajectories for NASA missions,{{unbulleted list|[[Presidential Medal of Freedom]] (2015)|[[Silver Snoopy award]] (2016)|[[NASA Group Achievement Award]] (2016)|[[Congressional Gold Medal]] (2019)}},,[[West Virginia State University]] ([[Bachelor of Science|BS]]),{{hlist|[[National Advisory Committee for Aeronautics|NACA]]|[[NASA]] (1953–1986)}},,{{unbulleted list|{{marriage|James Goble|1939|1956|end=died}}|{{marriage|Jim Johnson|1959|2019|end=died}}}},3,,
Dorothy Vaughan,{{birth date|1910|9|20}},"[[Kansas City, Missouri]], U.S.",{{death date and age|2008|11|10|1910|9|20}},"[[Hampton, Virginia]], U.S.",,,,,,,[[Wilberforce University]] ([[Bachelor of Arts|BA]]),,,{{marriage| Howard Vaughan |1932|1955|end=d}},6,,
Mae Jemison,{{birth date and age|1956|10|17}},"[[Decatur, Alabama]], U.S.",,,,,,,,,"[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]])<br/>[[Cornell University]] ([[Doctor of Medicine|MD]])",,,,,,
Sally Ride,{{birth date|1951|5|26}},"[[Los Angeles]], California, U.S.",{{death date and age|2012|7|23|1951|5|26}},"[[La Jolla]], California, U.S.",,,,,"[[Presidential Medal of Freedom]] (2013, posthumous)",,"[[Swarthmore College]]<br>[[University of California, Los Angeles]]<br>[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]], [[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,{{marriage|[[Steven Hawley]]|1982|1987|end=div}},,,
Valentina Tereshkova,{{Birth date and age|1937|3|6|df=y}},"[[Bolshoye Maslennikovo]], Yaroslavl Oblast, Soviet&nbsp;Union",,,,{{hlist|Pilot|[[cosmonaut]]|politician}},,,,,,,,{{plainlist| * {{marriage|[[Andriyan Nikolayev]]|3 November 1963|1982|end=divorced}} * {{marriage|Yuli Shaposhnikov|1982|1999|end=died}} }},,,
Peggy Whitson,{{birth date and age|1960|2|9}},"[[Beaconsfield, Iowa]], U.S.",,,,,,,,,[[Iowa Wesleyan University]] ([[Bachelor of Science|BS]])<br/>[[Rice University]] ([[Doctor of Philosophy|PhD]]),,[[Biochemistry]],,,,
Christa McAuliffe,{{birth date|1948|9|2}},"[[Boston]], [[Massachusetts]], U.S.",{{death date and age|1986|1|28|1948|9|2}},North Atlantic Ocean,,,,,[[Congressional Space Medal of Honor]],,{{unbulleted list|[[Framingham State University]] ([[Bachelor of Science|BS]])|[[Bowie State University]] ([[Master of Arts|MA]])}},,,{{marriage|[[Steven J. McAuliffe]]|1970}},2,,
